Source: https://www.wunderground.com/history/monthly/us/tx/huntsville/KUTS/date/2023-6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Jun,T-Max,T-Avg,T-Min,Td-Max,Td-Avg,Td-Min,RH-Max,RH-Avg,RH-Min,Wind-Max,Wind-Avg,Wind-Min,Pressure-Max,Pressure-Avg,Pressure-Min,Precip-Total
1 ,90 ,81.7 ,69 ,70 ,66.6 ,64 ,90 ,62.1 ,42 ,6 ,2.9 ,0 ,29.6 ,29.5 ,29.5 ,0.00 
2 ,92 ,82.8 ,72 ,70 ,66.6 ,64 ,87 ,60.3 ,39 ,8 ,3.0 ,0 ,29.6 ,29.5 ,29.4 ,0.00 
3 ,93 ,82.8 ,73 ,72 ,67.2 ,64 ,84 ,61.3 ,39 ,7 ,4.6 ,0 ,29.5 ,29.4 ,29.4 ,0.00 
4 ,83 ,74.6 ,69 ,69 ,66.3 ,63 ,90 ,76.3 ,54 ,9 ,3.8 ,0 ,29.5 ,29.5 ,29.4 ,0.06 
5 ,90 ,76.5 ,69 ,70 ,67.4 ,65 ,91 ,75.2 ,45 ,12 ,2.6 ,0 ,29.5 ,29.5 ,29.5 ,0.00 
6 ,89 ,75.3 ,69 ,70 ,67.5 ,64 ,94 ,78.8 ,43 ,5 ,1.3 ,0 ,29.6 ,29.5 ,29.5 ,0.13 
7 ,91 ,81.2 ,69 ,70 ,66.9 ,65 ,87 ,63.7 ,42 ,9 ,2.3 ,0 ,29.5 ,29.4 ,29.4 ,0.00 
8 ,89 ,78.8 ,71 ,71 ,68.2 ,65 ,91 ,71.0 ,51 ,9 ,4.0 ,0 ,29.5 ,29.4 ,29.4 ,0.00 
9 ,95 ,83.0 ,70 ,73 ,68.8 ,65 ,87 ,64.7 ,40 ,7 ,3.0 ,0 ,29.5 ,29.4 ,29.4 ,0.02 
10 ,95 ,81.4 ,0 ,78 ,70.8 ,0 ,88 ,68.0 ,0 ,14 ,8.5 ,5 ,29.4 ,28.2 ,0.0 ,0.00 
11 ,93 ,82.4 ,69 ,77 ,72.2 ,65 ,87 ,72.2 ,54 ,12 ,5.7 ,0 ,29.5 ,29.4 ,29.4 ,1.20 
12 ,94 ,84.8 ,78 ,77 ,74.2 ,72 ,90 ,71.4 ,49 ,13 ,4.1 ,0 ,29.5 ,29.5 ,29.4 ,0.00 
13 ,96 ,86.1 ,77 ,76 ,73.5 ,71 ,90 ,67.5 ,44 ,16 ,7.0 ,0 ,29.5 ,29.4 ,29.4 ,0.00 
14 ,95 ,86.7 ,80 ,76 ,74.7 ,74 ,85 ,68.4 ,50 ,15 ,8.9 ,3 ,29.4 ,29.4 ,29.3 ,0.00 
15 ,98 ,88.0 ,82 ,78 ,76.9 ,74 ,85 ,70.7 ,49 ,12 ,7.0 ,0 ,29.4 ,29.4 ,29.3 ,0.00 
16 ,99 ,88.5 ,81 ,78 ,76.8 ,75 ,88 ,69.8 ,48 ,16 ,7.4 ,0 ,29.5 ,29.4 ,29.4 ,0.00 
17 ,96 ,88.3 ,82 ,81 ,77.4 ,75 ,84 ,70.9 ,51 ,12 ,6.2 ,0 ,29.5 ,29.5 ,29.4 ,0.00 
18 ,99 ,88.9 ,81 ,79 ,75.6 ,70 ,85 ,66.7 ,39 ,17 ,9.7 ,5 ,29.4 ,29.4 ,29.3 ,0.00 
19 ,100 ,89.2 ,82 ,78 ,76.5 ,74 ,85 ,67.9 ,43 ,14 ,8.0 ,0 ,29.5 ,29.4 ,29.4 ,0.00 
20 ,100 ,88.8 ,82 ,79 ,76.9 ,75 ,89 ,69.0 ,46 ,13 ,5.3 ,0 ,29.5 ,29.4 ,29.3 ,0.00 
21 ,98 ,85.0 ,75 ,80 ,75.5 ,71 ,87 ,74.1 ,52 ,24 ,5.7 ,0 ,29.5 ,29.4 ,29.3 ,0.00 
22 ,96 ,85.7 ,76 ,78 ,75.8 ,72 ,91 ,73.3 ,51 ,5 ,1.0 ,0 ,29.5 ,29.4 ,29.4 ,0.38 
23 ,98 ,86.6 ,80 ,79 ,76.5 ,70 ,91 ,73.6 ,42 ,0 ,0.0 ,0 ,29.6 ,29.5 ,29.5 ,0.00 
24 ,97 ,87.8 ,80 ,77 ,75.3 ,72 ,85 ,67.5 ,47 ,12 ,2.6 ,0 ,29.6 ,29.5 ,29.5 ,0.00 
25 ,99 ,89.0 ,82 ,78 ,76.4 ,74 ,85 ,67.6 ,48 ,14 ,9.8 ,5 ,29.6 ,29.5 ,29.5 ,0.00 
26 ,100 ,89.0 ,82 ,77 ,74.9 ,73 ,85 ,64.6 ,42 ,14 ,9.0 ,6 ,29.6 ,29.5 ,29.5 ,0.00 
27 ,99 ,89.9 ,81 ,78 ,75.0 ,72 ,85 ,63.4 ,42 ,13 ,6.5 ,0 ,29.6 ,29.5 ,29.5 ,0.00 
28 ,97 ,88.7 ,81 ,77 ,74.5 ,72 ,82 ,64.2 ,44 ,12 ,6.9 ,0 ,29.6 ,29.5 ,29.5 ,0.00 
29 ,98 ,87.7 ,82 ,77 ,75.4 ,72 ,85 ,68.5 ,43 ,12 ,6.7 ,0 ,29.6 ,29.6 ,29.5 ,0.00 
30 ,98 ,89.0 ,80 ,76 ,73.0 ,70 ,85 ,61.0 ,40 ,12 ,6.4 ,0 ,29.6 ,29.6 ,29.5 ,0.00