STATE,STATEFP,Type,wbgt_26_pop_mean,wbgt_28_pop_mean,wbgt_30_pop_mean,wbgt_35_pop_mean
AL,01,County,629944,187974,4799,0
AL,01,Federal,309694,114837,3447,0
AL,01,Local,27025,9914,173,0
AL,01,State,1760442,597932,11774,0
AL,01,Total,2727105,910657,20193,0
AZ,04,County,442412,257893,52898,0
AZ,04,Federal,931606,451913,50407,0
AZ,04,Other,144670,80770,9457,0
AZ,04,State,4416202,2360885,430482,0
AZ,04,Total,5934890,3151461,543244,0
AR,05,County,315209,128019,9249,0
AR,05,Federal,243487,108893,8989,0
AR,05,State,1278024,543636,39177,0
AR,05,Total,1836720,780548,57415,0
CA,06,County,1853688,419993,49538,0
CA,06,Federal,468494,115166,26478,0
CA,06,Local,30957,4729,146,0
CA,06,Other,23297,4025,155,0
CA,06,State,5377549,1890298,492875,0
CA,06,Total,7753985,2434211,569192,0
CO,08,County,19712,67,0,0
CO,08,Federal,5605,0,0,0
CO,08,Local,29,0,0,0
CO,08,Other,2,0,0,0
CO,08,State,156441,5878,0,0
CO,08,Total,181789,5945,0,0
CT,09,Federal,5301,884,0,0
CT,09,State,137336,29300,370,0
CT,09,Total,142637,30184,370,0
DE,10,State,173224,49925,2911,0
DE,10,Total,173224,49925,2911,0
DC,11,State,69854,18718,432,0
DC,11,Total,69854,18718,432,0
FL,12,County,6914760,3138466,52239,0
FL,12,Federal,1838897,933627,19185,0
FL,12,Local,350614,143131,3630,0
FL,12,Other,66063,34638,904,0
FL,12,State,12120818,5846308,138739,0
FL,12,Total,21291152,10096170,214697,0
GA,13,County,1960865,431641,11305,0
GA,13,Federal,809979,266590,11885,0
GA,13,Local,26488,647,0,0
GA,13,State,4294336,1315191,24762,0
GA,13,Total,7091668,2014069,47952,0
ID,16,County,27468,852,0,0
ID,16,State,57128,1360,0,0
ID,16,Total,84596,2212,0,0
IL,17,County,265983,68500,6170,0
IL,17,Federal,177159,56121,3950,0
IL,17,Local,871,260,18,0
IL,17,State,1261246,368243,28760,0
IL,17,Total,1705259,493124,38898,0
IN,18,County,253258,34532,272,0
IN,18,Federal,80408,19044,529,0
IN,18,State,478899,83078,1771,0
IN,18,Total,812565,136654,2572,0
IA,19,County,65235,16960,2285,0
IA,19,Local,844,182,23,0
IA,19,State,223217,59907,8280,0
IA,19,Total,289296,77049,10588,0
KS,20,County,259516,80201,4592,0
KS,20,Federal,109137,32394,4098,0
KS,20,State,461926,136241,9025,0
KS,20,Total,830579,248836,17715,0
KY,21,County,734357,127004,3082,0
KY,21,Federal,130004,6437,0,0
KY,21,Local,60861,9698,0,0
KY,21,State,367624,54221,1115,0
KY,21,Total,1292846,197360,4197,0
LA,22,County,3318833,1500474,81492,0
LA,22,Federal,614522,291643,8992,0
LA,22,Local,98885,51373,5397,0
LA,22,Other,84136,38347,485,0
LA,22,State,1908576,843212,30433,0
LA,22,Total,6024952,2725049,126799,0
ME,23,County,6055,340,0,0
ME,23,State,3899,100,0,0
ME,23,Total,9954,440,0,0
MD,24,County,212068,54491,2697,0
MD,24,Federal,30456,4568,0,0
MD,24,State,546844,134974,5390,0
MD,24,Total,789368,194033,8087,0
MA,25,County,97298,21706,217,0
MA,25,Federal,11891,2202,0,0
MA,25,State,81904,17725,0,0
MA,25,Total,191093,41633,217,0
MI,26,County,136433,15341,129,0
MI,26,Federal,17660,2332,0,0
MI,26,State,203357,18769,0,0
MI,26,Total,357450,36442,129,0
MN,27,County,44126,8336,982,0
MN,27,Federal,8918,1665,258,0
MN,27,Local,65,17,0,0
MN,27,State,56376,10839,1292,0
MN,27,Total,109485,20857,2532,0
MS,28,County,927438,385629,25925,0
MS,28,Federal,564782,234938,13646,0
MS,28,State,1245602,515480,22295,0
MS,28,Total,2737822,1136047,61866,0
MO,29,County,291118,81296,5262,0
MO,29,Federal,37436,7840,196,0
MO,29,Local,52926,16309,1082,0
MO,29,State,1214584,329089,23940,0
MO,29,Total,1596064,434534,30480,0
MT,30,County,2667,45,0,0
MT,30,Local,260,34,0,0
MT,30,Other,1165,0,0,0
MT,30,State,3444,243,0,0
MT,30,Total,7536,322,0,0
NE,31,County,101148,25243,4101,0
NE,31,State,173659,47825,7077,0
NE,31,Total,274807,73068,11178,0
NV,32,County,220060,84728,498,0
NV,32,Federal,62510,10575,0,0
NV,32,Local,178591,78437,4421,0
NV,32,State,366059,60285,417,0
NV,32,Total,827220,234025,5336,0
NH,33,County,9000,1667,0,0
NH,33,Federal,372,0,0,0
NH,33,State,10931,1966,0,0
NH,33,Total,20303,3633,0,0
NJ,34,County,278139,65197,5375,0
NJ,34,Federal,116479,29883,2708,0
NJ,34,State,397005,96188,8189,0
NJ,34,Total,791623,191268,16272,0
NM,35,County,65831,1624,0,0
NM,35,Federal,0,0,0,0
NM,35,Other,80232,3016,0,0
NM,35,State,71627,1370,0,0
NM,35,Total,217690,6010,0,0
NY,36,County,90326,13589,0,0
NY,36,Federal,46178,10197,824,0
NY,36,Local,10104,1749,5,0
NY,36,State,294260,40970,0,0
NY,36,Total,440868,66505,829,0
NC,37,County,475093,107306,3760,0
NC,37,Federal,247241,50542,974,0
NC,37,State,1939911,585153,25419,0
NC,37,Total,2662245,743001,30153,0
ND,38,County,5131,600,57,0
ND,38,State,11809,1530,229,0
ND,38,Total,16940,2130,286,0
OH,39,County,232212,22217,370,0
OH,39,Federal,15622,0,0,0
OH,39,Local,1435,182,0,0
OH,39,Other,2679,72,0,0
OH,39,State,626288,47018,96,0
OH,39,Total,878236,69489,466,0
OK,40,County,462339,205904,22669,0
OK,40,Federal,296481,118618,7579,0
OK,40,Local,1174,589,106,0
OK,40,State,1850274,826103,77821,0
OK,40,Total,2610268,1151214,108175,0
OR,41,County,31466,2197,0,0
OR,41,Federal,9391,348,0,0
OR,41,Local,6,0,0,0
OR,41,State,98672,3363,0,0
OR,41,Total,139535,5908,0,0
PA,42,County,322269,49060,1971,0
PA,42,Federal,83792,16525,764,0
PA,42,Local,131541,31176,2078,0
PA,42,Other,4614,262,0,0
PA,42,Other,1369,22,0,0
PA,42,State,266893,32262,1271,0
PA,42,Total,810478,129307,6084,0
RI,44,Other,5233,1334,103,0
RI,44,State,26978,6888,574,0
RI,44,Total,32211,8222,677,0
SC,45,County,594543,155167,2931,0
SC,45,Federal,444966,140910,1561,0
SC,45,Local,5603,536,0,0
SC,45,State,1383329,399158,1783,0
SC,45,Total,2428441,695771,6275,0
SD,46,County,11723,2236,243,0
SD,46,Federal,10909,3409,584,0
SD,46,State,56990,15239,2324,0
SD,46,Total,79622,20884,3151,0
TN,47,County,1524311,333763,17612,0
TN,47,Federal,97385,40768,3568,0
TN,47,Local,1110,55,2,0
TN,47,Other,3393,1278,94,0
TN,47,State,1035558,291194,14774,0
TN,47,Total,2661757,667058,36050,0
TX,48,County,5854099,2888518,172936,0
TX,48,Federal,2710138,1237884,75068,0
TX,48,Local,15960,8207,594,0
TX,48,Other,339705,123181,2792,0
TX,48,State,14757149,7094025,402841,0
TX,48,Total,23677051,11351815,654231,0
UT,49,County,56605,6719,0,0
UT,49,Federal,4823,0,0,0
UT,49,State,36392,166,0,0
UT,49,Total,97820,6885,0,0
VT,50,State,5048,745,0,0
VT,50,Total,5048,745,0,0
VA,51,County,519826,141550,6278,0
VA,51,Federal,148514,43384,1669,0
VA,51,Local,325716,93412,7856,0
VA,51,State,952051,254604,10919,0
VA,51,Total,1946107,532950,26722,0
WA,53,County,32971,2126,0,0
WA,53,Federal,417,0,0,0
WA,53,Local,478,23,0,0
WA,53,State,61819,4257,0,0
WA,53,Total,95685,6406,0,0
WV,54,County,52898,4661,126,0
WV,54,Federal,27162,433,0,0
WV,54,State,38781,3468,5,0
WV,54,Total,118841,8562,131,0
WI,55,County,69930,13498,717,0
WI,55,Federal,6719,814,0,0
WI,55,State,132886,23988,892,0
WI,55,Total,209535,38300,1609,0
WY,56,County,283,0,0,0
WY,56,Other,100,0,0,0
WY,56,State,3563,0,0,0
WY,56,Total,3946,0,0,0
